,DKS_init,det
358,(0.5320048975042303-0.1581332725481648j),-2555006428.571428
359,(0.40695588650619213+0.06858366467691894j),-2555006428.571428
360,(0.4054624276854917+0.10738439770500054j),-2555006428.571428
361,(0.6243135101384557-0.012550540716660041j),-2555006428.571428
362,(0.7130167494314484-0.061443653681992956j),-2555006428.571428
363,(0.48938360237875456-0.07711826495929741j),-2555006428.571428
364,(0.33290190257804275-0.09907983260869319j),-2555006428.571428
365,(0.476542403968101+0.006448710856149743j),-2555006428.571428
366,(0.6227220439187257+0.14653083520827387j),-2555006428.571428
367,(0.5885270815630512+0.03694813892991803j),-2555006428.571428
368,(0.5386917030010365-0.1974605123445591j),-2555006428.571428
369,(0.5073167146690107-0.15349571439021523j),-2555006428.571428
370,(0.41924972719603054+0.08817945121835061j),-2555006428.571428
371,(0.43079931949587197+0.12217505449177518j),-2555006428.571428
372,(0.6293324888656259-0.029815623011235748j),-2555006428.571428
373,(0.7017245861111165-0.0909944209368142j),-2555006428.571428
374,(0.47583506841005585-0.07404170536758721j),-2555006428.571428
375,(0.32284614119267147-0.06873493952481095j),-2555006428.571428
376,(0.4843716081920121+0.01912276835714631j),-2555006428.571428
377,(0.6493316122068084+0.12986404108022123j),-2555006428.571428
378,(0.5964308074117777+0.018396684337747278j),-2555006428.571428
379,(0.5099478064267846-0.2006179183838252j),-2555006428.571428
380,(0.48429872011468883-0.14417695734002195j),-2555006428.571428
381,(0.435493246774188+0.10591254885927856j),-2555006428.571428
382,(0.45793577120225726+0.13178576480032458j),-2555006428.571428
383,(0.6306127991504541-0.048272709617222485j),-2555006428.571428
384,(0.6862656769784643-0.11734685445639947j),-2555006428.571428
385,(0.46330959111718273-0.0689843265151486j),-2555006428.571428
386,(0.3164732556794548-0.03719416448771411j),-2555006428.571428
387,(0.4954125091416846+0.031233057275753533j),-2555006428.571428
388,(0.6742643887776625+0.10771616142210941j),-2555006428.571428
389,(0.5988283553728737-0.0016889838586515262j),-2555006428.571428
390,(0.4805362810796085-0.19734291662318582j),-2555006428.571428
391,(0.4653628728729393-0.13153019067062013j),-2555006428.571428
392,(0.45387657274565296+0.11971141706997078j),-2555006428.571428
393,(0.48502748766554454+0.13814107447896612j),-2555006428.571428
394,(0.6306190029283106-0.0671824031792928j),-2555006428.571428
395,(0.6659811081078371-0.14269777707234418j),-2555006428.571428
396,(0.4500823429695014-0.059483664792812446j),-2555006428.571428
397,(0.31740365539282606-0.004333679186116515j),-2555006428.571428
398,(0.5086075897772195+0.038777838952541416j),-2555006428.571428
399,(0.6939603285640952+0.08246666715738428j),-2555006428.571428
400,(0.5983129578477495-0.02071570229306016j),-2555006428.571428
401,(0.4520067095463929-0.19051743823682163j),-2555006428.571428
402,(0.44813097222915954-0.11576711825661756j),-2555006428.571428
403,(0.47536505679930846+0.13171261235899231j),-2555006428.571428
404,(0.5132314635785838+0.13879378036465626j),-2555006428.571428
405,(0.6261214914694802-0.08676679344344655j),-2555006428.571428
406,(0.6420676896198954-0.16336287517251744j),-2555006428.571428
407,(0.43894457614473-0.04751724246039321j),-2555006428.571428
408,(0.3234425692078676+0.02798246338806062j),-2555006428.571428
409,(0.5234437250185769+0.043317079372708706j),-2555006428.571428
410,(0.709244500340017+0.0541997704635718j),-2555006428.571428
411,(0.5942085773429728-0.039042800704421524j),-2555006428.571428
412,(0.42427008105991-0.1791189383038699j),-2555006428.571428
413,(0.4345961107345125-0.09702286345017962j),-2555006428.571428
414,(0.49913550539049795+0.13971625683119815j),-2555006428.571428
415,(0.5403561276881994+0.13507309066245943j),-2555006428.571428
416,(0.6189056483807256-0.10600359365098962j),-2555006428.571428
417,(0.6143934309734765-0.18051241136732296j),-2555006428.571428
418,(0.4295598567757411-0.03169678720816134j),-2555006428.571428
419,(0.33632037913035207+0.05866882167939983j),-2555006428.571428
420,(0.5383063015911086+0.043130711344097766j),-2555006428.571428
421,(0.7186956006028347+0.02498725000503094j),-2555006428.571428
422,(0.588276639730771-0.05537573899512918j),-2555006428.571428
423,(0.39836454340095107-0.16525011703427686j),-2555006428.571428
424,(0.4227520500303858-0.07545495998511409j),-2555006428.571428
425,(0.5264451292842922+0.14576429284267323j),-2555006428.571428
426,(0.567210927157952+0.12388676278400779j),-2555006428.571428
427,(0.604794594350757-0.12417303015395695j),-2555006428.571428
428,(0.585865643798836-0.18960044797074505j),-2555006428.571428
429,(0.4253675039612363-0.016339960002249986j),-2555006428.571428
430,(0.3508718673688087+0.08576365627403998j),-2555006428.571428
431,(0.5534352373859598+0.0430560999416683j),-2555006428.571428
432,(0.7263228989571033-0.0070795222314592775j),-2555006428.571428
433,(0.5766127537250176-0.07230789668518067j),-2555006428.571428
434,(0.37346259915804336-0.14376769858212032j),-2555006428.571428
435,(0.41890746892670283-0.052427566330589745j),-2555006428.571428
436,(0.5535084889652786+0.14389664446783454j),-2555006428.571428
437,(0.5889682189418584+0.11091028678902626j),-2555006428.571428
438,(0.5905550865021661-0.13907229368833995j),-2555006428.571428
439,(0.5560744536845618-0.19694591108167128j),-2555006428.571428
440,(0.4213512088475953+0.0017634170086536442j),-2555006428.571428
